date,month,year,language,relative_perc
December 2012,December,2012,JavaScript,0.40757749712973596
December 2012,December,2012,Python,0.4845005740528129
December 2012,December,2012,R,0.10792192881745122
December 2013,December,2013,JavaScript,0.3807053941908714
December 2013,December,2013,Python,0.5093360995850622
December 2013,December,2013,R,0.10995850622406639
December 2014,December,2014,JavaScript,0.3599022004889975
December 2014,December,2014,Python,0.517359413202934
December 2014,December,2014,R,0.12273838630806848
December 2015,December,2015,JavaScript,0.333926981300089
December 2015,December,2015,Python,0.5316117542297418
December 2015,December,2015,R,0.13446126447016918
December 2016,December,2016,JavaScript,0.30154542027892955
December 2016,December,2016,Python,0.5646437994722955
December 2016,December,2016,R,0.133810780248775
December 2017,December,2017,JavaScript,0.2577736318407961
December 2017,December,2017,Python,0.6125621890547264
December 2017,December,2017,R,0.1296641791044776
December 2018,December,2018,JavaScript,0.22134922785153077
December 2018,December,2018,Python,0.6705499864535357
December 2018,December,2018,R,0.10810078569493363
December 2019,December,2019,JavaScript,0.1959872767310986
December 2019,December,2019,Python,0.7125030584781012
December 2019,December,2019,R,0.0915096647908001
December 2020,December,2020,JavaScript,0.20196124212000932
December 2020,December,2020,Python,0.7083819752509923
December 2020,December,2020,R,0.08965678262899837
February 2005,February,2005,JavaScript,0.714160070360598
February 2005,February,2005,Python,0.25241864555848725
February 2005,February,2005,R,0.03342128408091469
February 2006,February,2006,JavaScript,0.6384
February 2006,February,2006,Python,0.3168
February 2006,February,2006,R,0.04479999999999999
February 2007,February,2007,JavaScript,0.6290201944652207
February 2007,February,2007,Python,0.32460732984293195
February 2007,February,2007,R,0.04637247569184742
February 2008,February,2008,JavaScript,0.5790613718411552
February 2008,February,2008,Python,0.3595667870036101
February 2008,February,2008,R,0.06137184115523466
February 2009,February,2009,JavaScript,0.5239030779305829
February 2009,February,2009,Python,0.412573673870334
February 2009,February,2009,R,0.06352324819908317
February 2010,February,2010,JavaScript,0.4916051040967092
February 2010,February,2010,Python,0.43451981195433176
February 2010,February,2010,R,0.07387508394895902
February 2011,February,2011,JavaScript,0.45931758530183725
February 2011,February,2011,Python,0.4553805774278215
February 2011,February,2011,R,0.0853018372703412
February 2012,February,2012,JavaScript,0.4364508393285372
February 2012,February,2012,Python,0.47362110311750605
February 2012,February,2012,R,0.08992805755395683
